species,n50_05,n50_20,n50_80,n50_95,contig_count_05,contig_count_20,contig_count_80,contig_count_95,l50_05,l50_20,l50_80,l50_95,length_05,length_20,length_80,length_95
Acidobacteria bacterium,2941,5333,54735,350171,23,64,617,996,5,16,177,301,969154,1769059,4520880,6113606
Acinetobacter baumannii,20050,57136,150903,254525,45,77,196,497,6,9,21,61,3766168,3871656,4072040,4192028
Acinetobacter pittii,17334,37064,157916,349661,35,74,294,539,5,8,32,67,3798805,3899262,4096564,4240928
Actinobacteria bacterium,3297,5146,20414,66225,35,101,351,560,7,20,87,153,659809,928335,2009380,3399823
Alphaproteobacteria bacterium,2686,4373,46925,245658,16,57,456,865,3,12,122,249,636699,1023929,2885273,4159947
Bacilli bacterium,3560,7582,70874,113009,28,45,213,434,4,7,49,94,737093,1003753,1734741,2744817
Bacillus anthracis,30332,104228,868842,1198112,26,35,137,440,2,3,15,51,5008478,5350336,5459484,5486424
Bacillus cereus,5696,54597,236604,962390,39,72,339,1495,2,7,27,299,4976019,5275508,5873094,6251085
Bacillus subtilis,75725,132950,1052254,2197962,4,15,105,256,1,2,9,18,3981806,4026770,4207784,4319093
Bacillus thuringiensis,42519,59999,318103,655966,39,64,532,852,3,6,29,45,5307316,5610297,6463572,6827036
Bacillus velezensis,108396,279240,823377,2183179,12,21,63,114,1,2,5,11,3840994,3871310,4062837,4285975
bacterium,3331,4776,32785,89132,24,76,392,787,5,14,103,208,526792,1025746,2544605,3998303
Bacteroidales bacterium,4047,6690,44034,104033,38,100,393,676,8,19,99,190,1442186,1873927,3010866,3914907
Bacteroides fragilis,34421,97464,386369,525079,32,42,230,513,4,5,17,49,4993574,5202193,5436038,5861174
Bacteroides thetaiotaomicron,19268,84023,214140,456211,63,79,198,630,6,11,21,98,6024416,6339257,6477519,7046545
Bacteroidetes bacterium,2798,4224,22038,125678,45,169,618,1114,8,33,178,308,1183763,1795287,3707986,4655472
Betaproteobacteria bacterium,2966,5421,40971,69991,82,148,630,904,13,22,134,214,1359368,1984065,3326918,4651899
Bifidobacterium adolescentis,156800,325641,1179252,1549219,7,10,25,57,1,1,2,5,2115908,2146910,2425024,2430902
Bifidobacterium longum,55569,86776,190287,347030,21,36,64,98,3,5,9,14,2219096,2305983,2512952,2645482
Bifidobacterium pseudocatenulatum,155277,368623,662621,1672074,6,10,22,69,1,2,3,5,2138968,2189815,2288307,2370585
Borreliella burgdorferi,1982,29986,909648,910336,12,39,153,564,1,1,13,140,903605,1189871,1328354,1358581
Brucella abortus,53261,165944,2043650,2124152,2,4,47,139,1,1,7,19,3250200,3256519,3286555,3373697
Brucella melitensis,83360,175342,299130,518496,12,26,47,99,3,4,7,13,3277811,3284467,3290427,3302194
Burkholderia cenocepacia,49114,79234,188561,1776048,17,101,198,299,2,14,33,44,7326409,7650864,8259441,8604762
Burkholderia cepacia,91042,171338,309795,433743,47,73,149,255,6,9,15,31,7100224,8243253,8734018,9162835
Burkholderia gladioli,116486,225598,349650,2895566,12,105,174,238,2,7,12,23,7896237,8109875,8452083,8694269
Burkholderia pseudomallei,28640,56838,165587,250896,82,113,279,483,10,14,39,74,6886550,7027472,7211459,7335351
Burkholderia stagnalis,104706,138396,242977,269428,78,94,148,230,10,11,18,23,7524869,7556716,7890768,8129027
Burkholderia ubonensis,126060,156491,224034,275956,72,91,150,211,10,11,16,19,7083143,7194591,7833381,8035744
Burkholderiales bacterium,3741,4720,10777,26107,98,152,457,924,19,43,135,243,671366,1023182,3251069,4321805
Campylobacter coli,18928,39493,137308,207900,22,34,116,193,3,5,15,28,1647983,1695176,1845682,1921883
Campylobacter concisus,21463,41150,201601,392237,13,27,110,241,2,3,15,30,1778912,1841750,2003790,2085913
Campylobacter fetus,21531,78043,260105,321279,20,36,100,233,2,3,8,26,1717997,1735080,1856808,1943211
Campylobacter jejuni,20493,42317,143392,186912,21,31,90,164,3,5,13,26,1618053,1662691,1786924,1856716
Campylobacter lari,30889,66331,145630,197296,19,26,53,102,3,4,8,16,1443892,1478043,1615039,1704749
Campylobacter upsaliensis,25129,39170,56200,66882,59,69,103,144,9,10,15,20,1578428,1624039,1727676,1798362
Candidatus Bathyarchaeota archaeon,2338,3511,15390,38908,60,125,296,513,10,27,96,147,373868,768780,1764754,2427354
Candidatus Marinimicrobia bacterium,4249,11369,43363,95740,23,42,166,458,5,11,39,126,616269,924487,2090573,3012863
Candidatus Moranbacteria bacterium,2966,8436,27863,42003,50,65,158,238,8,12,37,63,584737,941877,1165804,1196577
Candidatus Omnitrophica bacterium,2558,3392,61394,124259,26,57,370,538,6,12,110,164,680200,1064011,2176133,2712853
Chloroflexi bacterium,3427,5231,64528,245506,17,37,508,922,3,8,142,250,718424,1320688,3733397,5259199
Citrobacter freundii,34612,84455,3093567,5123580,3,10,214,618,1,1,20,43,4899623,5123481,5486424,5744802
Clostridia bacterium,2252,4733,55335,149030,28,68,440,767,4,11,113,215,1038210,1431083,2391342,3033062
Clostridiaceae bacterium,4171,6495,58110,270051,23,101,384,854,4,15,87,184,1395671,1726387,3306486,4730249
Clostridiales bacterium,4674,7784,54278,112242,34,72,308,516,6,12,69,139,1148040,1605938,2479813,3117075
Clostridioides difficile,16173,43386,211681,620849,24,56,693,1632,3,7,29,77,3935607,4055206,4261963,4418299
Clostridium beijerinckii,60976,2466272,6140113,6160476,1,1,5,241,1,1,2,29,5967128,6098582,6153363,6297148
Clostridium botulinum,28972,62822,277707,767764,29,53,145,260,2,5,18,38,3448913,3795737,4015755,4228641
Clostridium perfringens,29854,60447,449192,2936696,4,29,120,227,1,2,15,33,2779313,3109712,3606725,3670029
Clostridium sporogenes,32576,56612,317216,722007,30,51,154,272,2,5,20,38,3818136,4021062,4204973,4316625
Corynebacterium diphtheriae,97144,109906,180319,304729,25,33,54,78,4,5,7,10,2363443,2395666,2478833,2527782
Cronobacter sakazakii,49077,84891,507197,656444,24,34,152,393,2,4,17,31,4320897,4406864,4585363,4703784
Cutibacterium acnes,50958,312323,718606,1217711,5,6,18,105,1,2,3,14,2464033,2479017,2544367,2558393
Dehalococcoidia bacterium,3683,7034,42042,127232,19,54,230,388,4,12,64,119,769049,1085641,2099705,2804722
Deltaproteobacteria bacterium,2513,4038,28918,82939,62,131,625,1151,12,29,173,320,912465,1545086,4126997,6857524
Enterobacter asburiae,72844,72844,72844,72844,706,706,706,706,20,20,20,20,5814655,5814655,5814655,5814655
Enterobacter cloacae,35799,83696,425203,4687742,4,37,219,844,1,4,19,42,4610603,4843329,5299147,5603771
Enterobacter hormaechei,52549,123851,320908,774480,23,57,155,292,3,5,13,30,4623296,4767406,5152290,5301092
Enterococcus faecalis,38584,70026,305249,1527851,9,34,114,196,1,3,13,25,2729372,2840272,3059952,3229647
Enterococcus faecium,19051,31538,94564,1838405,11,83,245,403,1,10,27,46,2495127,2631241,3047077,3158706
Enterococcus hirae,51651,180425,296640,2674507,3,19,62,211,1,4,6,18,2713376,2837210,2930251,3182776
Escherichia albertii,28960,35568,195350,370662,45,91,271,360,5,9,39,49,4445002,4619982,4919201,5048550
Escherichia coli,41193,73566,169645,256113,68,115,270,384,7,10,22,38,4761480,5004580,5418928,5545571
Euryarchaeota archaeon,3333,12250,48559,94017,24,42,142,347,6,11,36,97,726404,1105680,1799040,2160304
Firmicutes bacterium,2470,5021,53913,255278,18,69,352,536,3,11,94,156,712052,1490076,2559298,3396093
Flavobacteriaceae bacterium,5036,11169,63977,210348,27,45,199,427,6,10,52,115,854659,1168545,2813055,3481059
Flavobacteriales bacterium,5553,13755,64891,139083,21,38,182,482,5,9,41,135,777904,1163715,2434699,3416146
Flavobacterium psychrophilum,16591,45748,135848,227798,38,60,160,274,4,7,17,53,2518967,2655608,2786327,2899146
Francisella tularensis,20453,25623,27630,62110,46,96,110,150,10,22,24,31,1768317,1787103,1798956,1858241
Fusarium oxysporum,25021,36705,284793,4405365,31,1166,7497,11992,6,51,415,636,46200034,48518798,55119506,63826272
Gammaproteobacteria bacterium,3711,5930,36189,85151,31,70,432,670,6,16,117,185,772463,1235710,3087078,4260762
Gemmatimonadetes bacterium,3361,5887,33834,148556,37,108,487,976,7,23,139,307,1534008,2054595,3580786,4499173
Haemophilus influenzae,25475,66786,215240,397831,18,28,78,168,2,3,9,23,1774922,1800759,1900177,1968929
Helicobacter pylori,32676,62383,158845,386102,9,28,62,125,2,4,9,16,1551250,1585443,1656312,1691606
Klebsiella aerogenes,39065,139870,440747,621879,31,49,144,301,3,5,14,43,5025301,5116787,5392930,5548722
Klebsiella pneumoniae,4744978,4976844,5468117,5481887,2,2,3,3,1,1,1,1,5490557,5509822,5613948,5646745
Klebsiella pneumoniae,74370,144280,347987,5218156,8,69,170,452,1,6,13,23,5311342,5453565,5740957,5911793
Klebsiella quasipneumoniae,74566,151431,616290,2890346,20,33,170,265,1,3,11,22,5087899,5171700,5640198,5876062
Klebsiella variicola,100080,180399,480927,2972497,5,38,123,278,1,3,10,17,5395345,5479380,5825464,6095801
Lachnospiraceae bacterium,2471,8617,78021,176474,33,72,448,901,6,13,87,253,1508180,2071600,3731556,5040880
Lacticaseibacillus paracasei,7585,30253,126143,924583,7,67,264,825,1,8,25,103,2684067,2814538,3071968,3161277
Lactiplantibacillus plantarum,43175,79480,276804,1288051,12,39,121,200,1,5,12,23,3102636,3187727,3348097,3484867
Lactobacillus casei,172346,172346,172346,172346,42,42,42,42,7,7,7,7,3011496,3011496,3011496,3011496
Lactobacillus rhamnosus,6441,26690,151194,353195,26,47,239,836,3,7,32,112,2744695,2871592,3006799,3103716
Lactococcus lactis,17974,36233,164190,619944,22,51,193,368,2,5,24,41,2336037,2426000,2636198,2757319
Legionella pneumophila,86615,106705,442505,654668,19,24,64,100,2,3,11,13,3311022,3369844,3545766,3661859
