species,count,n50_05,n50_20,n50_50,n50_80,n50_95,contig_count_05,contig_count_20,contig_count_50,contig_count_80,contig_count_95,l50_05,l50_20,l50_50,l50_80,l50_95,length_05,length_20,length_50,length_80,length_95
Acinetobacter baumannii,2926,22299.25,60911.00,104310.00,150850.00,223104.25,49.00,76.00,114.00,182.00,466.00,6.00,9.00,13.00,20.00,56.00,3791690.75,3879513.00,3981429.00,4077855.00,4195710.50
Acinetobacter pittii,168,21093.50,48107.60,98530.00,170323.20,338015.70,34.35,61.40,100.00,204.60,519.65,5.00,8.00,13.00,25.20,63.20,3802356.25,3913047.60,4010614.00,4132354.20,4263754.70
Bacilli bacterium,6,51107.00,60545.00,68381.00,73425.00,73485.75,124.50,126.00,135.50,173.00,383.00,13.25,14.00,14.50,17.00,19.25,3537697.50,3539304.00,3548438.50,3581795.00,3639955.25
Bacillus anthracis,88,28888.65,74554.00,331400.50,929529.40,1198120.95,26.35,33.40,69.00,176.00,460.20,2.00,3.00,6.00,18.60,54.60,5016200.90,5353243.80,5435271.50,5459868.40,5499038.65
Bacillus cereus,133,25289.00,65613.40,136108.00,225132.00,677563.80,45.20,73.40,131.00,274.40,661.80,3.00,7.40,12.00,23.60,66.40,5134722.20,5314055.60,5648355.00,5880139.40,6235242.40
Bacillus subtilis,117,79049.80,147196.00,733827.00,1049435.20,2077733.00,10.00,18.20,36.00,103.80,250.80,1.00,2.00,3.00,8.80,16.00,3988096.60,4025676.60,4094383.00,4186984.80,4269268.60
Bacillus thuringiensis,174,42250.50,59511.20,154271.00,304501.20,559719.20,43.65,65.00,216.00,535.80,857.50,4.00,6.00,11.00,30.00,45.00,5307302.80,5608659.80,6079369.50,6456997.80,6829810.95
Bacillus velezensis,98,93703.50,250443.00,464682.00,634422.40,1058778.90,14.85,24.00,36.50,64.60,110.50,2.00,2.40,3.00,6.00,12.15,3841624.70,3873609.80,3931971.50,4058504.20,4282083.00
Bacteroidales bacterium,5,91681.20,101740.80,111621.00,119427.00,127431.00,65.80,86.20,97.00,109.20,121.80,10.60,12.40,14.00,15.80,18.20,3826682.40,4565313.60,4812985.00,4827203.40,4828986.60
Bacteroides fragilis,209,36657.20,110159.20,197071.00,397798.00,523464.20,33.00,41.00,83.00,205.00,435.60,4.00,5.00,9.00,16.40,41.60,5036789.00,5202933.40,5258210.00,5430393.00,5843801.40
Bacteroides thetaiotaomicron,6,154836.00,175170.00,320641.00,471353.00,507143.75,32.00,68.00,78.00,102.00,123.00,4.25,5.00,8.00,11.00,14.75,6252455.00,6357767.00,6463581.00,6554963.00,6578391.50
Bifidobacterium adolescentis,104,183694.50,327485.00,548941.50,1179291.00,1504877.70,7.00,10.00,14.00,22.40,63.00,1.00,1.00,2.00,2.00,4.00,2133273.00,2146669.00,2199062.50,2316331.60,2430432.15
Bifidobacterium longum,179,63841.40,85849.60,113023.00,183693.20,326738.60,21.00,37.60,53.00,66.40,93.20,3.00,5.00,7.00,10.00,12.10,2245987.90,2315485.00,2401154.00,2498150.80,2624044.60
Bifidobacterium pseudocatenulatum,13,102748.40,172581.60,303309.00,438317.00,1848571.40,5.60,12.00,43.00,63.20,77.60,1.00,2.00,3.00,5.20,7.00,2151716.20,2204180.60,2277780.00,2354865.20,2455406.40
Borreliella burgdorferi,78,11520.75,899262.40,902883.50,909729.20,910226.90,36.85,41.40,49.00,64.00,205.20,1.00,1.00,1.00,1.00,32.35,1193340.50,1253510.80,1295085.50,1327211.00,1343797.50
Brucella abortus,150,64724.80,180805.20,462878.00,2018312.20,2123799.60,3.00,4.00,17.50,47.00,121.05,1.00,1.00,3.00,7.00,16.55,3250202.70,3256283.40,3283961.00,3286595.60,3377847.50
Brucella melitensis,212,83457.35,175588.80,245647.50,299125.80,518492.50,12.00,26.00,35.00,47.00,96.50,3.00,4.00,5.00,7.00,13.00,3278361.45,3284531.60,3288453.50,3290337.80,3300632.00
Burkholderia cenocepacia,248,48964.05,76750.80,106120.50,157213.40,283794.40,67.35,111.00,156.50,200.00,300.25,9.00,17.00,25.00,33.00,44.65,7399664.35,7665901.20,7993284.00,8263149.20,8649681.55
Burkholderia cepacia,117,91670.20,165585.80,240252.00,303865.60,383125.40,53.40,76.20,107.00,136.80,233.20,7.80,9.00,11.00,15.80,31.00,7116385.80,8246579.80,8482880.00,8733661.60,9368721.20
Burkholderia gladioli,13,35949.20,87943.60,110397.00,274222.60,2057864.60,17.80,114.20,181.00,227.20,655.60,3.40,10.80,25.00,30.20,98.20,7957097.80,8045649.00,8194274.00,8468092.20,8642129.60
