Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Acinetobacter baumannii	5.0	2.072	1.114	6.599	2.023	0.39	
Actinobacteria bacterium	3.9185	2.254	1.643	6.1195	1.0	0.516	
Campylobacter coli	4.897	1.785	0.903	6.246	2.033	0.313	
Campylobacter jejuni	4.921	1.708	0.845	6.236	2.083	0.304	
Clostridioides difficile	5.087	2.053	1.041	6.618	2.0	0.28600000000000003	
Enterococcus faecalis	5.203	1.826	0.778	6.47	1.75	0.374	
Enterococcus faecium	4.651	2.2685	1.301	6.46	1.7894999999999999	0.379	
Escherichia coli	5.062	2.272	1.176	6.721	1.903	0.505	
Helicobacter pylori	4.9855	1.602	0.699	6.211	2.0	0.389	
Klebsiella pneumoniae	5.326	2.021	0.954	6.748	2.0	0.5720000000000001	
Listeria monocytogenes	5.548	1.431	0.602	6.481	2.057	0.379	
Mycobacterium tuberculosis	5.771	1.255	0.477	6.642	2.0	0.6559999999999999	
Neisseria meningitidis	4.435	2.182	1.38	6.328	2.0	0.518	
Pseudomonas aeruginosa	5.322	2.013	1.0	6.82	1.748	0.662	
Pseudomonas viridiflava	5.559	1.792	0.778	6.777	1.699	0.593	
Salmonella enterica	5.288	1.771	0.903	6.678	1.919	0.521	
Shigella flexneri	4.461	2.563	1.672	6.648	1.978	0.505	
Shigella sonnei	4.378	2.618	1.763	6.663	1.987	0.508	
Staphylococcus aureus	5.241	1.672	0.699	6.451	2.0	0.327	
Staphylococcus epidermidis	4.974	1.908	0.954	6.395	1.991	0.32	
Streptococcus agalactiae	5.014	1.623	0.845	6.321	2.0	0.354	
Streptococcus pneumoniae	4.924	1.699	0.903	6.318	2.0	0.396	
Streptococcus pyogenes	5.303	1.301	0.602	6.253	2.0	0.384	
Streptococcus suis	4.969	1.74	0.903	6.327	1.699	0.41200000000000003	
Vibrio parahaemolyticus	5.302	2.107	0.903	6.707	2.0	0.45299999999999996	
Acidobacteria bacterium	4.1605	2.319	1.6945000000000001	6.4830000000000005	1.0	0.62	
Acinetobacter pittii	4.949	2.127	1.146	6.601	1.813	0.38799999999999996	
Alphaproteobacteria bacterium	3.973	2.3209999999999997	1.6945000000000001	6.255	1.0	0.5655	
Bacilli bacterium	4.5024999999999995	1.9540000000000002	1.161	6.103	1.439	0.29200000000000004	
Bacillus anthracis	5.4985	1.778	0.778	6.7355	2.167	0.35100000000000003	
Bacillus cereus	5.130000000000001	2.1155	1.079	6.75	1.733	0.35100000000000003	
Bacillus subtilis	5.875	1.544	0.477	6.612	2.0	0.43700000000000006	
Bacillus thuringiensis	5.19	2.328	1.041	6.784	2.079	0.35	
Bacillus velezensis	5.674	1.556	0.477	6.595	2.0	0.46399999999999997	
Bacteroidales bacterium	4.2170000000000005	2.339	1.653	6.369	1.3170000000000002	0.47650000000000003	
Bacteroides fragilis	5.2865	1.9264999999999999	0.954	6.721	1.954	0.433	
Bacteroides thetaiotaomicron	5.259	1.9775	1.079	6.81	1.962	0.42700000000000005	
Bacteroidetes bacterium	3.971	2.56	1.924	6.416	1.097	0.43	
Betaproteobacteria bacterium	4.165	2.5125	1.74	6.412	0.8140000000000001	0.5805	
Bifidobacterium adolescentis	5.754	1.23	0.301	6.345	2.2375	0.595	
Bifidobacterium longum	5.075	1.672	0.845	6.3765	2.049	0.6	
Bifidobacterium pseudocatenulatum	5.8	1.079	0.301	6.341	2.37	0.563	
