Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Acetatifactor sp.	4.3715	2.2735000000000003	1.6015000000000001	6.4735	0.9864999999999999	0.473
Acetobacter pasteurianus	4.7940000000000005	2.327	1.0965	6.484999999999999	2.481	0.5275000000000001
Acetobacter tropicalis	4.9805	2.207	1.079	6.5725	2.2305	0.555
Acholeplasma laidlawii	5.578	1.079	0.301	6.173	1.574	0.318
Acholeplasmataceae bacterium	4.1465	2.1885000000000003	1.4209999999999998	6.132	2.1925	0.346
Achromobacter ruhlandii	5.132	1.954	1.176	6.818	2.1	0.677
Achromobacter xylosoxidans	4.811	2.262	1.431	6.814	1.978	0.677
Acidiferrobacteraceae bacterium	4.4	2.0	1.38	6.334	-1.0	0.528
Acidilobales archaeon	3.574	2.35	1.845	6.029	0.867	0.376
Acidimicrobiaceae bacterium	4.558	1.839	1.204	6.283	-1.0	0.533
Acidimicrobiales bacterium	3.995	2.5460000000000003	1.955	6.448	1.1955	0.636
Acidimicrobiia bacterium	3.7584999999999997	2.615	2.027	6.3285	1.0	0.623
Acidithiobacillus thiooxidans	4.5125	2.5145	1.591	6.5825	1.91	0.531
Acidobacteria bacterium	4.1605	2.319	1.6945000000000001	6.4830000000000005	1.0	0.62
Acidobacteriaceae bacterium	4.373	2.504	1.806	6.583	0.918	0.596
Acinetobacter baumannii	4.999	2.072	1.114	6.599	2.024	0.39
Acinetobacter bereziniae	4.827999999999999	2.3085	1.29	6.66	1.6425	0.3795
Acinetobacter calcoaceticus	5.566000000000001	1.5375	0.477	6.5915	1.7985	0.386
Acinetobacter haemolyticus	4.65	2.26	1.398	6.539	1.908	0.395
Acinetobacter indicus	4.9755	1.9565000000000001	0.977	6.48	1.9769999999999999	0.457
Acinetobacter johnsonii	4.849	2.1390000000000002	1.176	6.5565	1.839	0.414
Acinetobacter junii	4.66	2.354	1.38	6.529	1.898	0.387
Acinetobacter lactucae	4.969	2.09	1.176	6.587	1.776	0.388
Acinetobacter nosocomialis	4.931	2.083	1.204	6.6	1.851	0.387
Acinetobacter oleivorans	5.127	2.427	0.954	6.615	1.908	0.388
Acinetobacter pittii	4.946	2.134	1.176	6.601	1.806	0.388
Acinetobacter radioresistens	4.994	2.009	1.0	6.51	1.813	0.415
Acinetobacter seifertii	4.693	2.324	1.38	6.597	1.795	0.386
Acinetobacter soli	4.958	2.117	1.1275	6.5405	1.8359999999999999	0.4285
Acinetobacter sp.	4.484999999999999	2.2145	1.4905	6.5365	0.0	0.406
Acinetobacter ursingii	4.916	2.188	1.114	6.544	1.653	0.401
Actinobacillus pleuropneumoniae	4.927	1.728	0.954	6.355	1.8359999999999999	0.412
Actinobacteria bacterium	3.9175	2.258	1.643	6.12	1.0	0.516
Actinomycetales bacterium	4.012	2.459	1.839	6.377	1.764	0.697
Aerococcus urinae	5.0	1.736	0.845	6.289	1.7080000000000002	0.4245
Aeromonas caviae	4.876	2.334	1.301	6.652	2.0	0.614
Aeromonas hydrophila	5.233	1.875	1.041	6.696	1.924	0.611
Aeromonas salmonicida	5.008	2.086	1.176	6.682	1.822	0.584
Aeromonas veronii	5.274	1.806	0.954	6.67	1.851	0.586
Agathobacter sp.	4.622	2.093	1.301	6.424	1.18	0.425
Aggregatibacter actinomycetemcomitans	4.8835	1.8415	0.977	6.3215	1.987	0.444
Aggregatibacter aphrophilus	5.6035	1.519	0.389	6.3675	1.525	0.423
Agrobacterium rhizogenes	5.726	1.6855	0.602	6.848	1.854	0.599
Agrobacterium tumefaciens	5.6685	1.531	0.602	6.751	1.9495	0.5925
Agrobacterium vitis	5.574	1.8479999999999999	0.778	6.7755	1.874	0.576
Akkermansia muciniphila	5.336	1.462	0.699	6.443	1.916	0.557
Akkermansiaceae bacterium	4.144	2.778	2.061	6.668	0.0	0.588
Alcaligenaceae bacterium	4.461	2.196	1.505	6.446	2.237	0.531
Alcaligenes faecalis	5.542	1.491	0.602	6.636	2.255	0.568
Alcanivorax sp.	4.682	1.978	1.342	6.552	-1.0	0.626
Aliivibrio finisterrensis	5.036	2.111	1.114	6.626	2.158	0.389
Aliivibrio fischeri	5.302	1.857	0.903	6.632	2.0	0.382
Alkalihalobacillus clausii	5.147	1.968	1.0	6.632	2.1005	0.446
Alphaproteobacteria bacterium	3.973	2.3209999999999997	1.6945000000000001	6.255	1.0	0.5654999999999999
Alteromonadaceae bacterium	4.922	1.875	1.176	6.638	-1.0	0.488
Alteromonas macleodii	5.672	1.643	0.477	6.683	2.0	0.446
Alteromonas sp.	4.42	2.097	1.568	6.509	-1.0	0.448
Anaerolineaceae bacterium	4.4	2.238	1.602	6.474	1.163	0.525
Anaerolineae bacterium	3.86	2.669	2.093	6.481	1.176	0.594
Anaerolineales bacterium	4.047	2.534	2.049	6.454	1.041	0.525
Anaerostipes hadrus	4.863	2.0775	1.204	6.4795	2.0	0.37
Anaplasma marginale	4.659	1.771	1.0	6.068	1.763	0.498
